UAV_NUM,Avg_Profit,Avg_Reward_Norm,Avg_Reward_Raw
1,5.373898692627263,1.3618876603838523,9.398898692627265
2,3.5571782861072463,1.3622471151981908,4.933660426900116
3,1.1420198974399327,1.366876395674854,3.163281613804234
4,0.34845979384664433,1.3692904998795046,2.742233413508257
5,-0.7454372373106886,1.368151568630061,2.6200342221119963
6,-1.951798331499275,1.3689879036703938,2.3684057816207833
7,-3.104899683876011,1.3734974896997347,2.1825398193974723
8,-4.150079877383034,1.3697570817240758,1.9462577581762073
9,-5.37197161918853,1.3777785225719243,1.8270646508406891
10,-5.854612035016523,1.373002206900329,2.0238473838626505
11,-6.8418216285412,1.3717095999668825,1.9252155415453949
12,-7.6786988095224,1.3698389501161004,2.02781068232703
13,-8.649106453063313,1.3693177023204586,2.0554316891141986
14,-9.551360993825483,1.374756364059667,2.1594972550196276
15,-10.056208082405952,1.376774108428657,2.070010254000283
16,-11.509674257272902,1.3719098916881944,2.0406937062719983
17,-11.993802456608154,1.3711576835301424,2.2682849217253382
18,-13.949835567199537,1.3731035484814986,1.6741452367633272
19,-14.80371577415375,1.3722019774873127,1.8160477605182277
20,-15.610313219549749,1.3688757492287746,1.9142554196193164
21,-16.535176415013403,1.367839649339785,1.9182740460500174
22,-17.225172873045807,1.3671283370589395,1.897621024298403
23,-18.105815259909573,1.3671073535878466,1.93353705071702
24,-20.188885460213747,1.3667061218101666,1.501859825186876
25,-21.02692857197597,1.3703325703184093,1.621087552715236
26,-21.821441892800514,1.375961229792924,1.740103281646303
27,-22.509695775070885,1.3750391188584432,1.9380882111145965
28,-23.49734298925351,1.3705591438138383,1.9639026778869766
29,-24.45023429382556,1.3696336063083776,1.9310634612610502
30,-25.316332749872227,1.3712545238893574,2.0368147965401873
31,-26.18649648984183,1.3698091813652717,2.213367070309675
32,-27.259090239515984,1.3716609348990245,2.1557559234432038
33,-28.11134363710111,1.371754405382836,2.1651804415465037
34,-29.13153319530817,1.3671492997944297,2.205554924826584
35,-30.14161412383434,1.3681200723794968,2.177205558007684
36,-31.81085539769801,1.3712002790411755,1.865556490538052
37,-32.7617910424823,1.3706126768995663,1.8829556152827909
38,-33.60980362806448,1.368926867743622,1.9197287387090225
39,-34.471208193693535,1.3683976963851734,2.0979867100537164
40,-35.44726811583696,1.371488205166206,2.022153686127322
41,-36.448536085302905,1.368869848108448,2.1458684672237505
42,-37.33475088846809,1.3705870133995794,2.06854182920234
43,-38.149903147053905,1.3704508462858367,2.13732787450571
44,-38.94600519031883,1.3706266254543251,2.2540825215222426
45,-39.93280261740379,1.369468467823125,2.2805531754138966
46,-40.76428757533866,1.3710194238633622,2.3612686398571396
47,-41.698047186600505,1.371589674159123,2.4243550132919003
48,-42.670846084084,1.3701430130731307,2.454366424608878
49,-43.624440192278634,1.368821220310077,2.4800563702011273
50,-44.61904571773189,1.3687628979647593,2.5031735262940837
